종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1721","-28","-1.60","91314607840"
"054620","APS","KOSDAQ","금융","3920","-65","-1.63","77985346320"
"265520","AP시스템","KOSDAQ","기계·장비","19240","-250","-1.28","289577796040"
"211270","AP위성","KOSDAQ","전기·전자","11910","-420","-3.41","179630240640"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","2975","-65","-2.14","186731524525"
"083790","CG인바이츠","KOSDAQ","일반서비스","1473","0","0.00","113265130086"
"035760","CJ ENM","KOSDAQ","오락·문화","64500","-1300","-1.98","1414430433000"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","8950","-380","-4.07","116935884900"
"051500","CJ프레시웨이","KOSDAQ","유통","26700","-100","-0.37","316971346200"
"058820","CMG제약","KOSDAQ","제약","1771","-40","-2.21","261828506093"
"056730","CNT85","KOSDAQ","건설","652","14","2.19","48320493272"
"065770","CS","KOSDAQ","전기·전자","840","-23","-2.67","16305349200"
"083660","CSA 코스믹","KOSDAQ","화학","622","-30","-4.60","38095746582"
"477760","DB금융스팩12호","KOSDAQ","금융","2100","0","0.00","12264000000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스·수도","1301","-47","-3.49","38913864934"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2345","20","0.86","37107863905"
"025440","DH오토웨어","KOSDAQ","전기·전자","734","-14","-1.87","35805418416"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","6420","-460","-6.69","173340000000"
"180400","DXVX","KOSDAQ","일반서비스","1945","-80","-3.95","95731795240"
"418620","E8","KOSDAQ","IT 서비스","2060","-10","-0.48","26471982620"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5600","-330","-5.56","48299843200"
"050120","ES큐브","KOSDAQ","유통","2840","-165","-5.49","38522004240"
"214270","FSN","KOSDAQ","IT 서비스","1990","108","5.74","86945008410"
"130500","GH신소재","KOSDAQ","섬유·의류","2410","-30","-1.23","35053575320"
"900290","GRT","KOSDAQ","금융","2705","-65","-2.35","218699250000"
"083450","GST","KOSDAQ","기계·장비","28300","-1350","-4.55","521569000000"
"297890","HB솔루션","KOSDAQ","기계·장비","2205","-115","-4.96","161275715370"
"440290","HB인베스트먼트","KOSDAQ","금융","2040","-30","-1.45","55298300400"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1914","-80","-4.01","177458263224"
"225530","HC보광산업","KOSDAQ","비금속","2810","-30","-1.06","102111822870"
"060560","HC홈센타","KOSDAQ","유통","685","-7","-1.01","87453624625"
"195940","HK이노엔","KOSDAQ","제약","49850","-1050","-2.06","1412245066350"
"028300","HLB","KOSDAQ","제약","47600","-2000","-4.03","6275256036000"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1480","-57","-3.71","128768197720"
"067630","HLB생명과학","KOSDAQ","제약","4275","-295","-6.46","521195422950"
"024850","HLB이노베이션","KOSDAQ","전기·전자","1688","-72","-4.09","243976957056"
"187420","HLB제넥스","KOSDAQ","제약","2930","-60","-2.01","85368134260"
"047920","HLB제약","KOSDAQ","일반서비스","15800","-720","-4.36","518229824800"
"115450","HLB테라퓨틱스","KOSDAQ","유통","3215","-80","-2.43","271288975545"
"046210","HLB파나진","KOSDAQ","제약","1684","-1","-0.06","75993393112"
"196300","HLB펩","KOSDAQ","제약","6550","-70","-1.06","60871756900"
"403870","HPSP","KOSDAQ","기계·장비","29900","-1700","-5.38","2496607183200"
"036640","HRS","KOSDAQ","화학","5260","-60","-1.13","86026248000"
"448760","IBKS제22호스팩","KOSDAQ","금융","4290","-340","-7.34","19004700000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2210","15","0.68","9348300000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2200","5","0.23","9306000000"
"095340","ISC","KOSDAQ","유통","88100","4900","5.89","1867460809800"
"950170","JTC","KOSDAQ","유통","3660","-45","-1.21","189391633680"
"067290","JW신약","KOSDAQ","제약","1405","-35","-2.43","74993457030"
"035900","JYP Ent.","KOSDAQ","오락·문화","68700","-1000","-1.43","2441082200400"
"318000","KBG","KOSDAQ","화학","4715","-125","-2.58","41210151445"
"024840","KBI메탈","KOSDAQ","금속","1653","-62","-3.62","57704905947"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3370","-80","-2.32","38755000000"
"455250","KB제25호스팩","KOSDAQ","금융","2105","5","0.24","9062025000"
"464680","KB제27호스팩","KOSDAQ","금융","2065","0","0.00","26648825000"
"478390","KB제29호스팩","KOSDAQ","금융","2060","0","0.00","12813200000"
"486630","KB제30호스팩","KOSDAQ","금융","2040","0","0.00","10832400000"
"492220","KB제31호스팩","KOSDAQ","금융","2005","0","0.00","12451050000"
"0037T0","KB제32호스팩","KOSDAQ","금융","1994","-2","-0.10","12622020000"
"0072Z0","KB제33호스팩","KOSDAQ","금융","1982","0","0.00","15628070000"
"021320","KCC건설","KOSDAQ","건설","4940","5","0.10","105716000000"
"044180","KD","KOSDAQ","건설","582","-21","-3.48","15549759018"
"046440","KG모빌리언스","KOSDAQ","IT 서비스","4715","-155","-3.18","179220931430"
"151860","KG에코솔루션","KOSDAQ","운송장비·부품","5420","-290","-5.08","258008270840"
"035600","KG이니시스","KOSDAQ","IT 서비스","10300","-370","-3.47","283810670200"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","67617390260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","62746456410"
"060720","KH바텍","KOSDAQ","전기·전자","11350","-750","-6.20","268738966700"
"058400","KNN","KOSDAQ","오락·문화","702","-7","-0.99","92965663440"
"101000","KS인더스트리","KOSDAQ","기계·장비","826","-34","-3.95","27627058452"
"089600","KT나스미디어","KOSDAQ","일반서비스","12580","-170","-1.33","145527490540"
"418470","KT밀리의서재","KOSDAQ","IT 서비스","13550","-480","-3.42","116066440950"
"043610","KT지니뮤직","KOSDAQ","오락·문화","1837","-19","-1.02","106758059606"
"122450","KX","KOSDAQ","오락·문화","3760","-130","-3.34","168522575840"
"052900","KX하이텍","KOSDAQ","화학","896","-30","-3.24","58575512576"
