종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4460","35","0.79","201827305140"
"006840","AK홀딩스","KOSPI","기타금융","9260","-120","-1.28","122672414860"
"027410","BGF","KOSPI","기타금융","3920","-80","-2.00","375209820720"
"282330","BGF리테일","KOSPI","유통","109200","-1900","-1.71","1887402535200"
"138930","BNK금융지주","KOSPI","기타금융","14800","-310","-2.05","4653492279200"
"001460","BYC","KOSPI","섬유·의류","37450","-950","-2.47","233918317500"
"001465","BYC우","KOSPI","섬유·의류","22800","-150","-0.65","49107780000"
"001040","CJ","KOSPI","기타금융","178100","3500","2.00","5196423343800"
"079160","CJ CGV","KOSPI","오락·문화","5340","-70","-1.29","884205023100"
"00104K","CJ4우(전환)","KOSPI","기타금융","150100","2300","1.56","634399451200"
"000120","CJ대한통운","KOSPI","운송·창고","92000","-2400","-2.54","2098735648000"
"011150","CJ씨푸드","KOSPI","음식료·담배","2670","-5","-0.19","95935163910"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","14500","-910","-5.91","2900000000"
"001045","CJ우","KOSPI","기타금융","89300","-1600","-1.76","201837913900"
"097950","CJ제일제당","KOSPI","음식료·담배","221500","-5000","-2.21","3334502199000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","136500","-1400","-1.02","181194604500"
"000480","CR홀딩스","KOSPI","비금속","4885","20","0.41","229060043650"
"000590","CS홀딩스","KOSPI","기타금융","73400","-3900","-5.05","84738978800"
"012030","DB","KOSPI","IT 서비스","1393","-44","-3.06","280235288669"
"005830","DB손해보험","KOSPI","보험","122100","-4000","-3.17","8644680000000"
"016610","DB증권","KOSPI","증권","10200","-550","-5.12","432953167800"
"000990","DB하이텍","KOSPI","전기·전자","67500","-2900","-4.12","2936559690000"
"000300","DH오토넥스","KOSPI","운송장비·부품","1984","0","0.00","162944308992"
"001530","DI동일","KOSPI","유통","15910","-710","-4.27","313892844800"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","38600","-2050","-5.04","808897122400"
"000215","DL우","KOSPI","화학","25200","-1300","-4.91","42490098000"
"375500","DL이앤씨","KOSPI","건설","39100","-1600","-3.93","1512920659300"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","28850","-450","-1.54","60929786350"
"37550K","DL이앤씨우","KOSPI","건설","21900","-700","-3.10","46294081500"
"007340","DN오토모티브","KOSPI","전기·전자","22600","-850","-3.62","1322345549000"
"004840","DRB동일","KOSPI","화학","4600","-45","-0.97","91678000000"
"155660","DSR","KOSPI","금속","3775","-60","-1.56","60400000000"
"069730","DSR제강","KOSPI","금속","3325","-145","-4.18","47880000000"
"017860","DS단석","KOSPI","화학","18650","-720","-3.72","327945553800"
"092780","DYP","KOSPI","운송장비·부품","3200","35","1.11","42139072000"
"017940","E1","KOSPI","유통","83800","-1600","-1.87","574868000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4440","15","0.34","1092635160000"
"383220","F&F","KOSPI","섬유·의류","72800","-1800","-2.41","2788755060000"
"007700","F&F홀딩스","KOSPI","기타금융","19320","-290","-1.48","755689570440"
"114090","GKL","KOSPI","오락·문화","14210","160","1.14","878969070700"
"078930","GS","KOSPI","기타금융","58900","-700","-1.17","5472715764200"
"006360","GS건설","KOSPI","건설","18450","-500","-2.64","1578978490500"
"001250","GS글로벌","KOSPI","유통","2360","-50","-2.07","194779683040"
"007070","GS리테일","KOSPI","유통","21600","-450","-2.04","1805920164000"
"078935","GS우","KOSPI","기타금융","47650","-950","-1.95","85046958900"
"499790","GS피앤엘","KOSPI","기타금융","48850","4700","10.65","968736582850"
"012630","HDC","KOSPI","기타금융","16760","-500","-2.90","1001271243960"
"039570","HDC랩스","KOSPI","건설","8280","-10","-0.12","214928936280"
"089470","HDC현대EP","KOSPI","화학","3995","-20","-0.50","127440500000"
"294870","HDC현대산업개발","KOSPI","건설","18580","-420","-2.21","1224558191400"
"009540","HD한국조선해양","KOSPI","기타금융","426000","-10500","-2.41","30149347416000"
"267250","HD현대","KOSPI","기타금융","217500","-9000","-3.97","17180995987500"
"267270","HD현대건설기계","KOSPI","기계·장비","88700","-2900","-3.17","1539620273100"
"443060","HD현대마린솔루션","KOSPI","일반서비스","200000","-9500","-4.53","8965842000000"
"071970","HD현대마린엔진","KOSPI","기계·장비","79300","-2600","-3.17","2689974553500"
"010620","HD현대미포","KOSPI","운송장비·부품","240000","500","0.21","9586115760000"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","53300","-2500","-4.48","596960000000"
"042670","HD현대인프라코어","KOSPI","기계·장비","13540","-520","-3.70","2557045762520"
"267260","HD현대일렉트릭","KOSPI","전기·전자","812000","-28000","-3.33","29270273620000"
"329180","HD현대중공업","KOSPI","운송장비·부품","603000","0","0.00","53530188948000"
"097230","HJ중공업","KOSPI","건설","22650","-1500","-6.21","2045189541600"
"014790","HL D&I","KOSPI","건설","2455","-50","-2.00","92942865455"
"003580","HLB글로벌","KOSPI","유통","2205","-90","-3.92","111713028525"
"204320","HL만도","KOSPI","운송장비·부품","35850","-1100","-2.98","1683412752000"
"060980","HL홀딩스","KOSPI","기타금융","41000","-50","-0.12","377752557000"
"011200","HMM","KOSPI","운송·창고","18750","-490","-2.55","17685711937500"
"035000","HS애드","KOSPI","일반서비스","8580","-110","-1.27","142148369220"
"002460","HS화성","KOSPI","건설","11500","-100","-0.86","116725000000"
"487570","HS효성","KOSPI","기타금융","62800","-2900","-4.41","233988215600"
"298050","HS효성첨단소재","KOSPI","화학","198600","-3900","-1.93","889717672800"
"003560","IHQ","KOSPI","오락·문화","10760","0","0.00","76220934800"
"015360","INVENI","KOSPI","일반서비스","62000","-2200","-3.43","353400000000"
"175330","JB금융지주","KOSPI","기타금융","23400","-850","-3.51","4473685569600"
"234080","JW생명과학","KOSPI","제약","15500","290","1.91","245435587000"
"001060","JW중외제약","KOSPI","제약","24650","-400","-1.60","573998174500"
"001067","JW중외제약2우B","KOSPI","제약","60900","0","0.00","12787355700"
"001065","JW중외제약우","KOSPI","제약","27650","0","0.00","9454945150"
"096760","JW홀딩스","KOSPI","기타금융","3455","-95","-2.68","255410674610"
"008970","KBI동양철관","KOSPI","금속","1998","-97","-4.63","159642012186"
"105560","KB금융","KOSPI","기타금융","122500","-4300","-3.39","46729107617500"
"415640","KB발해인프라","KOSPI","기타금융","10030","-180","-1.76","1229131846440"
"432320","KB스타리츠","KOSPI","부동산","3795","-50","-1.30","384867211575"
"002380","KCC","KOSPI","화학","412500","-15500","-3.62","3665669287500"
"344820","KCC글라스","KOSPI","비금속","26100","-400","-1.51","416830363200"
"009070","KCTC","KOSPI","운송·창고","4915","-125","-2.48","147450000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","702","-9","-1.27","140935724982"
"003620","KG모빌리티","KOSPI","운송장비·부품","3285","-75","-2.23","664801585920"
"016380","KG스틸","KOSPI","금속","5290","-110","-2.04","529047065130"
"001390","KG케미칼","KOSPI","화학","5080","-340","-6.27","347822723200"
"033180","KH 필룩스","KOSPI","전기·전자","5310","0","0.00","138166306200"
"001940","KISCO홀딩스","KOSPI","금속","26200","-750","-2.78","371421156000"
"025000","KPX케미칼","KOSPI","화학","49650","-750","-1.49","240306000000"
"092230","KPX홀딩스","KOSPI","화학","69400","-1400","-1.98","293190432400"
"000040","KR모터스","KOSPI","운송장비·부품","469","-15","-3.10","40509961296"
"044450","KSS해운","KOSPI","운송·창고","9260","-110","-1.17","213775248800"
"030200","KT","KOSPI","통신","49200","-700","-1.40","12399466902000"
"033780","KT&G","KOSPI","음식료·담배","141100","-1000","-0.70","16646504609500"
"058850","KTcs","KOSPI","IT 서비스","2850","-80","-2.73","121652250000"
"058860","KTis","KOSPI","IT 서비스","2715","-40","-1.45","94487430000"
"093050","LF","KOSPI","섬유·의류","17590","-430","-2.39","514331600000"
"003550","LG","KOSPI","기타금융","80700","-2900","-3.47","12445681909500"
"034220","LG디스플레이","KOSPI","전기·전자","12130","-780","-6.04","6065000000000"
"051900","LG생활건강","KOSPI","화학","281000","-8000","-2.77","4299990979000"
"051905","LG생활건강우","KOSPI","화학","114400","-2400","-2.05","240205336800"
"064400","LG씨엔에스","KOSPI","IT 서비스","55500","-2400","-4.15","5377170114000"
"373220","LG에너지솔루션","KOSPI","전기·전자","443000","-20000","-4.32","103662000000000"
"003555","LG우","KOSPI","기타금융","66500","-1900","-2.78","200244733500"
"032640","LG유플러스","KOSPI","통신","15120","-460","-2.95","6499004727600"
"011070","LG이노텍","KOSPI","전기·전자","237000","-8000","-3.27","5609104359000"
"066570","LG전자","KOSPI","전기·전자","87600","-3800","-4.16","14268847501200"
"066575","LG전자우","KOSPI","전기·전자","49000","-2800","-5.41","842113608000"
"037560","LG헬로비전","KOSPI","오락·문화","2365","-35","-1.46","183161835725"
"051910","LG화학","KOSPI","화학","388000","-14000","-3.48","27389829084000"
"051915","LG화학우","KOSPI","화학","191900","-7000","-3.52","1475480720000"
"079550","LIG넥스원","KOSPI","금속","400500","-24500","-5.76","8811000000000"
"006260","LS","KOSPI","기타금융","192000","-9000","-4.48","6086400000000"
"010120","LS ELECTRIC","KOSPI","전기·전자","459000","-11000","-2.34","13770000000000"
"000680","LS네트웍스","KOSPI","유통","3180","-150","-4.50","250593590880"
"229640","LS에코에너지","KOSPI","기타금융","35600","-1400","-3.78","1090245692400"
"108320","LX세미콘","KOSPI","전기·전자","49650","-1050","-2.07","807522495000"
"001120","LX인터내셔널","KOSPI","유통","30250","-750","-2.42","1172490000000"
"108670","LX하우시스","KOSPI","화학","29850","-1200","-3.86","267684949500"
"108675","LX하우시스우","KOSPI","화학","16880","-330","-1.92","17425730400"
"383800","LX홀딩스","KOSPI","기타금융","7880","-230","-2.84","601091837200"
"38380K","LX홀딩스1우","KOSPI","기타금융","8640","-50","-0.58","12660062400"
"023150","MH에탄올","KOSPI","음식료·담배","5010","70","1.42","36966415260"
"035420","NAVER","KOSPI","IT 서비스","249000","-6000","-2.35","39056306862000"
"181710","NHN","KOSPI","IT 서비스","31200","-800","-2.50","1053503037600"
"400760","NH올원리츠","KOSPI","부동산","3445","-10","-0.29","189231352375"
"005940","NH투자증권","KOSPI","증권","20550","-650","-3.07","7322876782950"
"005945","NH투자증권우","KOSPI","증권","18580","-450","-2.36","350622585440"
"338100","NH프라임리츠","KOSPI","부동산","4795","-30","-0.62","89474700000"
"034310","NICE","KOSPI","일반서비스","13860","-20","-0.14","514600206120"
"030190","NICE평가정보","KOSPI","IT 서비스","15570","70","0.45","926517653010"
"008260","NI스틸","KOSPI","금속","3340","-10","-0.30","95524390780"
"004250","NPC","KOSPI","화학","3870","-80","-2.03","142106400000"
"004255","NPC우","KOSPI","화학","2475","-70","-2.75","13068000000"
"456040","OCI","KOSPI","화학","59500","-1900","-3.09","532673452500"
"010060","OCI홀딩스","KOSPI","기타금융","108800","-3400","-3.03","2047062969600"
"178920","PI첨단소재","KOSPI","화학","16890","-840","-4.74","495997178580"
"001340","PKC","KOSPI","화학","5770","-190","-3.19","259179208390"
"005490","POSCO홀딩스","KOSPI","금속","312500","-2000","-0.64","25291547500000"
"010950","S-Oil","KOSPI","화학","85700","-2300","-2.61","9648345274400"
"010955","S-Oil우","KOSPI","화학","49200","-1400","-2.77","197878808400"
"034120","SBS","KOSPI","오락·문화","19650","-500","-2.48","364531826700"
"003080","SB성보","KOSPI","화학","2870","0","0.00","57457400000"
"005090","SGC에너지","KOSPI","전기·가스","22850","0","0.00","329253259050"
"001380","SG글로벌","KOSPI","운송장비·부품","1734","-41","-2.31","77967823962"
"004060","SG세계물산","KOSPI","유통","303","-3","-0.98","61334762880"
"001770","SHD","KOSPI","금속","17500","-30","-0.17","21260365000"
"002360","SH에너지화학","KOSPI","화학","363","-9","-2.42","40341543990"
"009160","SIMPAC","KOSPI","금속","4785","0","0.00","313080234060"
"033530","SJG세종","KOSPI","운송장비·부품","8110","-830","-9.28","225627993710"
"123700","SJM","KOSPI","운송장비·부품","3610","-90","-2.43","56333681780"
"025530","SJM홀딩스","KOSPI","유통","3695","-75","-1.99","55181159560"
"034730","SK","KOSPI","기타금융","263500","-4500","-1.68","19104462240500"
