Code,Name,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
060310,3S,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,03월,정완영,http://www.3sref.com,서울특별시
095570,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,곽정호,http://www.ajnet.co.kr,서울특별시
006840,AK홀딩스,KOSPI,기타 금융업,지주사업,1999-08-11,12월,"고준, 채형석 (각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시
054620,APS,KOSDAQ,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도
265520,AP시스템,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,Yoo Ho Sun,http://www.apsystems.co.kr,경기도
211270,AP위성,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,이성희,http://www.apsi.co.kr,서울특별시
139050,BF랩스,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29,12월,"한상우, 조영중 (공동대표이사)",,경기도
027410,BGF,KOSPI,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
282330,BGF리테일,KOSPI,종합 소매업,체인화 편의점,2017-12-08,12월,민승배,http://www.bgfretail.com,서울특별시
126600,BGF에코머티리얼즈,KOSDAQ,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.bgfecomaterials.com,경기도
138930,BNK금융지주,KOSPI,기타 금융업,금융지주회사,2011-03-30,12월,빈대인,http://www.bnkfg.com,부산광역시
001460,BYC,KOSPI,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시
001465,BYC우,KOSPI,,,,,,,
083790,CG인바이츠,KOSDAQ,자연과학 및 공학 연구개발업,아셀렉스,2006-01-06,12월,"오수연, 이호영(공동대표이사)",http://www.cginvites.com,서울특별시
001040,CJ,KOSPI,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
079160,CJ CGV,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,정종민,http://www.cgv.co.kr,서울특별시
035760,CJ ENM,KOSDAQ GLOBAL,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,윤상현,http://www.cjmall.com,서울특별시
311690,CJ 바이오사이언스,KOSDAQ,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,12월,윤상배,http://www.cjbioscience.com,서울특별시
00104K,CJ4우(전환),KOSPI,,,,,,,
000120,CJ대한통운,KOSPI,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"신영수, 민영학 (각자 대표)",http://www.cjlogistics.com,서울특별시
011150,CJ씨푸드,KOSPI,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,임항순,http://www.cjseafood.net,경기도
011155,CJ씨푸드1우,KOSPI,,,,,,,
001045,CJ우,KOSPI,,,,,,,
097950,CJ제일제당,KOSPI,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식,강신호(각자 대표이사)",http://www.cj.co.kr,서울특별시
097955,CJ제일제당 우,KOSPI,,,,,,,
051500,CJ프레시웨이,KOSDAQ,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,이건일,http://www.cjfreshway.com,경기도
058820,CMG제약,KOSDAQ,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시
056730,CNT85,KOSDAQ,건물 건설업,산업설비 제조외,2002-01-04,12월,김윤호,http://www.cnt85.com,경기도
000480,CR홀딩스,KOSPI,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",1978-06-30,12월,강문수,http://www.crholdings.co.kr,전라남도
065770,CS,KOSDAQ,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도
083660,CSA 코스믹,KOSDAQ,기타 화학제품 제조업,화장품 제조 및 판매,2006-07-25,12월,최재호,http://www.csacosmic.com,서울특별시
000590,CS홀딩스,KOSPI,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도
012030,DB,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
477760,DB금융스팩12호,KOSDAQ,기타 금융업,기업인수 및 합병,2024-06-18,12월,김창희,,서울특별시
005830,DB손해보험,KOSPI,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,"김정남, 정종표",http://www.idbins.com,서울특별시
016610,DB증권,KOSPI,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,곽봉석,http://dbsec.co.kr,서울특별시
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조,1975-12-12,12월,조기석,http://www.dbhitek.co.kr,경기도
099520,DGI,KOSDAQ,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열,박근식 (각자 대표이사)",http://www.itxai.com,서울특별시
060900,DGP,KOSDAQ,전기업,풍력 및 태양광 발전업,2002-09-17,12월,"염제우, 조헌정 각자대표이사",http://www.daehangreenpower.com,전라남도
000300,DH오토넥스,KOSPI,자동차 신품 부품 제조업,"유,무선 통신장비",1975-06-09,12월,최준용,http://www.dayouplus.co.kr,전북특별자치도
290120,DH오토리드,KOSDAQ,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,이석근,http://www.dhautolead.co.kr,전북특별자치도
025440,DH오토웨어,KOSDAQ,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..,1995-05-22,12월,"김진우, 지태수",http://dhautoware.co.kr,광주광역시
001530,DI동일,KOSPI,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
015590,DKME,KOSPI,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,12월,백승륜,http://www.kibplugenergy.com,울산광역시
000210,DL,KOSPI,기초 화학물질 제조업,지주회사,1976-02-02,12월,김종현,http://www.dlholdings.co.kr,서울특별시
000215,DL우,KOSPI,,,,,,,
375500,DL이앤씨,KOSPI,토목 건설업,토목 건설 사업,2021-01-25,12월,박상신,,서울특별시
37550L,DL이앤씨2우(전환),KOSPI,,,,,,,
37550K,DL이앤씨우,KOSPI,,,,,,,
068790,DMS,KOSDAQ,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,이석화,http://www.dms21.co.kr,경기도
007340,DN오토모티브,KOSPI,일차전지 및 이차전지 제조업,자동차용 밧데리,1988-09-24,12월,김상헌 김인환,http://www.dnautomotive.com,경상남도
004840,DRB동일,KOSPI,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://www.drbworld.com,부산광역시
241520,DSC인베스트먼트,KOSDAQ,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시
155660,DSR,KOSPI,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
069730,DSR제강,KOSPI,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,"홍하종, 홍석빈 (각자 대표이사)",http://www.dsrcorp.com,전라남도
017860,DS단석,KOSPI,기타 화학제품 제조업,바이오에너지,2023-12-22,12월,한승욱,http://dsdansuk.com,경기도
180400,DXVX,KOSDAQ,기타 과학기술 서비스업,BAC DNA CHIP,2015-11-20,12월,"권규찬, 유건상 각자대표이사",http://www.dxvx.com,서울특별시
092780,DYP,KOSPI,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,2017-12-08,12월,홍순겸,,경기도
017940,E1,KOSPI,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시
418620,E8,KOSDAQ,소프트웨어 개발 및 공급업,"CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼",2024-02-23,12월,김진현,http://e8ight.co.kr/,서울특별시
245620,EDGC,KOSDAQ,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,대표이사 이민섭,http://www.edgc.com,인천광역시
037370,EG,KOSDAQ,기초 화학물질 제조업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,"박지만,제영태 각자대표이사",http://www.egcorp.co.kr,전라남도
278990,EMB,KONEX,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",2017-10-31,12월,"홍지태, 홍성천",http://www.fineemtech.co.kr,경기도
365550,ESR켄달스퀘어리츠,KOSPI,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,조주현,http://www.esrks-reit.com,서울특별시
050120,ES큐브,KOSDAQ,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,안경환,http://www.escube.co.kr,서울특별시
383220,F&F,KOSPI,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시
007700,F&F홀딩스,KOSPI,기타 금융업,지주회사,1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시
214270,FSN,KOSDAQ,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"서정교, 박태순(공동대표이사)",http://fsn.co.kr,서울특별시
130500,GH신소재,KOSDAQ,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도
114090,GKL,KOSPI,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,윤두현,http://www.grandkorea.com,서울특별시
900290,GRT,KOSDAQ,기타 금융업,"광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩
078930,GS,KOSPI,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
083450,GST,KOSDAQ,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"석종욱, 문승보(각자대표)",http://www.gst-in.com,경기도
